data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-22T07:02:20.233881,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-22T07:02:20.234645,
3,1,Organic,,1.0,B0CZMWBB8D,Progress Pride Flag Backdrop for Photography Every One is Welcome Here Banner Gay Pride Day Month Parade Rainbow Party Decorations and Supplies for Home,N/A,$11.99,,4.8,23.0,False,https://m.media-amazon.com/images/I/71xeH1R7XVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71xeH1R7XVL._AC_SL1500_.jpg,,2026-04-22T07:02:20.237983,
4,1,Organic,,2.0,B0F26VJVT4,"8Pcs Gay Pride Hanging Banner, Love is Love Pride Banner, LGBTQ Rainbow Heart Garland, NO-DIY Pride Month Decorations Rainbow Birthday Bachelorette Baby Shower Bridal Shower Party Supplies",N/A,$9.99,,4.9,12.0,False,https://m.media-amazon.com/images/I/71Qf2nwNjtL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Qf2nwNjtL._AC_SL1500_.jpg,,2026-04-22T07:02:20.241368,
5,1,Organic,,3.0,B0DXRY8JQK,"Pride Decorations, 97PCS Gay Pride Party Supplies with Banner,Balloons,Handheld Flags,Rainbow Curtain,Tattoo Stickers,Paper Pompoms,LGBT Month Decor, Gay Party Decorations",N/A,$13.99,,4.5,10.0,False,https://m.media-amazon.com/images/I/91xq0aJeHeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91xq0aJeHeL._AC_SL1500_.jpg,,2026-04-22T07:02:20.246648,
7,1,Title,,,,Debug info copied.SponsoredKidum 50 Pcs Rainbow Hand Fans Love for LGBT Gifts Bulk Accessories Love ,,,,,,False,,,,2026-04-22T07:02:20.247626,
8,1,Title,,,,Pride FlagSponsored|10K+ bought from this brand in past month|Shop AhfuLifeShop nowPrevious pageAhfu,,,,,,False,,,,2026-04-22T07:02:20.248766,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-22T07:02:20.248903,
10,1,Organic,,4.0,B0D1XX4C6V,"Pride Banner, Be Yourself They'll Adjust, Rainbow Pride Month Decoration, Glitter Rainbow Banner, LGBTQ+ Party Decor, Gay Pride Decor",N/A,$9.99,,4.6,16.0,False,https://m.media-amazon.com/images/I/71-nj07MBtL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71-nj07MBtL._AC_SL1500_.jpg,,2026-04-22T07:02:20.252000,
11,1,Organic,,5.0,B0F4NT296Z,"Pride Decorations,64PCS Pride Month Decorations with Rainbow Foil Fringe Curtain,Welcome Love is Love Porch Sign,HAPPY PRIDE Banner,Balloons,Handheld Flags,LGBTQ Decor for Home Office",N/A,$13.99,,5.0,4.0,False,https://m.media-amazon.com/images/I/91ip1GFJtfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91ip1GFJtfL._AC_SL1500_.jpg,,2026-04-22T07:02:20.255331,
12,1,Organic,,6.0,B0F1FHZHYG,34PCS Pride Decorations Rainbow Party Set for Office - Pride Month Love Is Love Banner Foil Curtains Balloons LGBT Hanging Swirls Paper Fans Pom Poms Honeycombs Home Decor Supplies,N/A,$18.99,,5.0,7.0,False,https://m.media-amazon.com/images/I/91I2ugvIZ2L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91I2ugvIZ2L._AC_SL1500_.jpg,,2026-04-22T07:02:20.259454,
